UUID,Info,Body
2286e090-6932-4b1c-a867-5f7bd5706c44,Ubicaciones Banner,"<img src=""sites/default/files/locations-banner.jpg"" />"
3d3e8fd3-1092-4a9c-ae1c-1824f06b1f66,Envoltura ayudar desplegable,"<div class=product-selector> <div class=""row align-center""> <div class=""text-center small-12 large-11""> <h4>¿Qué tipo de seguro es lo que buscas?</h4> </div> </div> <div class=row> <div class=""column small-3 text-center auto icons""><a href=/products/auto-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Seguro de auto"" class=""fa has-tip fa-car fa-2x""></span></a></div> <div class=""column small-3 text-center home icons""><a href=/products/home-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Seguro del hogar"" class=""fa has-tip fa-home fa-2x""></span></a></div> <div class=""column small-3 text-center life-insurance icons""><a href=/products/life-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Seguro de vida"" class=""fa fa-heart fa-2x has-tip""></span></a></div> <div class=""column small-3 text-center disability icons""><a href=/products/disability-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Los seguros de invalidez"" class=""fa fa-ambulance fa-2x has-tip""></span></a> </div> </div> </div>"
e0a81556-7a12-4d42-89aa-c5b0552b5711,Anuncio,"<div class=""bundle-ad""><div class=""bundle-ad-content""> <h1 class=""bundle-ad-title"">Bundle y ahorra hasta 26%</h1> <h4 class=""bundle-ad-body"">Al concentrar sus políticas actuales y moviendo políticas adicionales para Bayside, se puede ahorrar hasta un 26% en sus costos de seguro actuales! Contáctanos hoy para más información.</h4><div class=""bundle-ad-products""><div class=""bundle-ad-products-section""><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/life-small-icon.png""><h3 class=""life-insurance"">Seguro de vida</h3></div><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/disability-small-icon.png""><h3 class=""disability-insurance"">Los seguros de invalidez</h3></div></div><div class=""bundle-ad-products-section""><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/auto-small-icon.png""><h3 class=""auto-insurance"">Seguro de auto</h3></div><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/home-small-icon.png""><h3 class=""home-insurance"">Seguro del hogar</h3></div></div></div></div> <div class=""bundle-ad-footer""> <div class=""bundle-ad-footer-text""> <h1>$130</h1><h3> por mes durante 12 meses</h3> <p>Se ahorrará un 22% en la agrupación de estos productos!</p> </div><div class=""bundle-ad-footer-button""> <a class=""button alert"">Comienza!</a></div> </div></div>"
0c0059b7-1197-49ba-8374-edfa630bbb7f,Productos para Usuarios,"<div class=""user-product""> <div class=""product-info""> <div class=""product-info-left""> <img class=""webicon small"" src=""/sites/default/files/disability-small-icon.png""> </div> <div class=""product-info-right""> <h2>Los seguros de invalidez</h2> <p> Expira: September 2, 2014 <br /> <b>1 month remaining</b> </p> <h6> Saldo adeudado: <br /> <b>2 de septiembre de, 2014</b> </h5> <div class=""product-buttons""> <a href="""" class=""product-button button"">Ver y administrar la directiva</a> </div> </div> </div></div>"
5ccd0073-58a2-4940-9ce9-3b1e684d3bd1,Productos de usuario Alt,"<div class=""user-product""> <div class=""product-info""> <div class=""product-info-left""> <img class=""webicon small"" src=""/sites/default/files/auto-small-icon.png""> </div> <div class=""product-info-right""> <h2>Seguro de auto</h2> <p> Expira: February 25, el año 2015 <br /> <b>10 meses restantes</b> </p> <h6> Saldo adeudado: <br /> <b>25 de de febrero de, el año 2015</b> </h5> <div class=""product-buttons""> <a href="""" class=""product-button button"">Ver y administrar la directiva</a> <a href="""" class=""product-button button alert"">Pagar el resto</a> </div></div> </div></div>"
90cecb00-9a67-40f6-a64f-932ff753ca51,Navegación de usuario personalizada,"<ul class=""user-nav""> <li><a href=""/user/edit"">Configuraciones de la cuenta</a></li> <li><a href=""/user/edit"">Editar perfil</a></li> <li class=""user-nav-manage-policies""><a href=""#"">Gestionar políticas</a></li> <li class=""user-nav-logout""><a href=""/user/logout"">Cerrar sesión</a></li></ul>"
370ab1dd-01be-454a-bf9a-526bfeb3f8c5,Nuestra historia,"<div class=""our-history-wrapper full-width-row""><div class=""full-width-inner""><div class=""row""><div class=""columns""><h3>Nuestra compañía</h3></div></div><div class=""row medium-unstack""><div class=""columns""><div class=""history-content""><p>Los Asociados de Bayside fue fundada por los agentes de seguros Daniel Smith y Jim nieve en San Francisco, CA, durante la primavera de 1928. Daniel y Jim compartieron la misión de convertirse en una empresa de servicios primer seguro para garantizar que las personas de todas las clases tenían la capacidad de proteger su activos y miembros de la familia de los accidentes y desastres.</p><p>Mucho ha cambiado en los últimos 87 años, sin embargo la misión de Daniel y Jim viven aquí en Bayside. Estamos comprometidos con el servicio a nuestros asegurados con el toque personal que cada individuo merece.</p></div></div><div class=""columns""><p>Estamos comprometidos con el servicio a nuestros asegurados con el toque personal que cada individuo merece.</p><p><a class=""button small hollow"" href=""/history"">LEE MAS</a></p></div></div></div></div>"
3186e090-6932-4b1c-a867-5f7bd5706c33,Concurso Contenido de la página,"<div class=""contest-content row""><div class=""large-9 columns""><h2>Bundle El seguro de automóvil para tener la oportunidad de ganar!</h2><hr /><h4>Cuando se agrega una póliza de seguro a su cuenta, usted tiene la oportunidad de ganar entradas para el espectáculo de coches clásicos </h4><p>La inscripción para el seguro de automóviles que se inscribe automáticamente en el concurso. Para posibilidades adicionales de ganar, puede compartir esta página hasta 3 veces para su red social usando el control en esta página para tres entradas adicionales.</p><ul class=""clearing-thumbs"" data-clearing><li><a href=""/sites/default/files/carshow.jpg""><img src=""/sites/default/files/carshow-th.jpg""></a></li><li><a href=""/sites/default/files/carshow2.jpg""><img src=""/sites/default/files/carshow2-th.jpg""></a></li><li><a href=""/sites/default/files/carshow3.jpg""><img src=""/sites/default/files/carshow3-th.jpg""></a></li></ul></div><div class=""large-3 columns""><div class=""contest-share-dropdown""><button href=""#"" data-dropdown=""drop1"" aria-controls=""drop1"" aria-expanded=""false"" class=""button dropdown"">Comparte ganar!</button><br><ul id=""drop1"" data-dropdown-content class=""f-dropdown"" aria-hidden=""true""><li><input id=""facebook"" type=""checkbox""><label for=""facebook"">Facebook</label></li><li><input id=""twitter"" type=""checkbox""><label for=""twitter"">Twitter</label></li><li><input id=""pinterest"" type=""checkbox""><label for=""pinterest"">Pinterest</label></li><li class=""contest-share-submit"">Share</li></ul></div></div></div><div id=""contestModal"" class=""reveal-modal"" data-reveal aria-labelledby=""modalTitle"" aria-hidden=""true"" role=""dialog""><h2 id=""modalTitle"">Thanks for entering the contest!</h2><a class=""close-reveal-modal"" aria-label=""Close"">&#215;</a></div>"
722bc827-bef4-48e6-b7a2-3fb49cfbe144,Concurso de Publicidad,"<div class=""contest-hero""><img class=""contest-hero-image"" src=""/sites/default/files/contest-hero.png""><h2>Bundle seguro de automóvil</h2><h1>para la oportunidad de ganar!</h1><img class=""contest-hero-trust-badge"" src=""/sites/default/files/trust-badge.png""></div>"
0e17ff3a-c54c-4655-a858-8882fd3ce1cb,Acerca de,"<p>Bayside Associates Financial Group es un proveedor líder mundial de programas de beneficios de seguro y de los empleados. Desde nuestros inicios en el 1928, Bayside Associates ha estado suministrando nuestros productos a los individuos, las familias y las empresas para garantizar que se satisfagan sus necesidades personales.</p><p>Si usted está buscando una persona para obtener de automóviles y seguro de hogar por primera vez, o una familia que busca para asegurar que sus seres queridos están protegidos, Bayside tiene los productos adecuados para usted.</p>"
