UUID,Info,Body
2286e090-6932-4b1c-a867-5f7bd5706c44,Bannière Agences,"<img src=""sites/default/files/locations-banner.jpg"" />"
3d3e8fd3-1092-4a9c-ae1c-1824f06b1f66,Aide à la Sélection,"<div class=product-selector> <div class=""row align-center""> <div class=""text-center small-12 large-11""> <h4>Quel type d'assurance recherchez-vous?</h4> </div> </div> <div class=row> <div class=""column small-3 text-center auto icons""><a href=/products/auto-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Assurance Auto"" class=""fa has-tip fa-car fa-2x""></span></a></div> <div class=""column small-3 text-center home icons""><a href=/products/home-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Assurance Habitation"" class=""fa has-tip fa-home fa-2x""></span></a></div> <div class=""column small-3 text-center life-insurance icons""><a href=/products/life-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Assurance Vie"" class=""fa fa-heart fa-2x has-tip""></span></a></div> <div class=""column small-3 text-center disability icons""><a href=/products/disability-insurance><span data-tooltip aria-haspopup=true data-disable-hover=false tabindex=1 title=""Assurance Invalidité"" class=""fa fa-ambulance fa-2x has-tip""></span></a> </div> </div> </div>"
e0a81556-7a12-4d42-89aa-c5b0552b5711,Publicité,"<div class=""bundle-ad""><div class=""bundle-ad-content""> <h1 class=""bundle-ad-title"">Regroupez vos polices et économisez jusqu'à 26%</h1> <h4 class=""bundle-ad-body"">En regroupant vos polices actuelles et en ajoutant de nouvelles chez Bayside, vous pouvez économiser jusqu'à 26% sur vos coûts d'assurance. Contactez-nous pour en savoir plus.</h4><div class=""bundle-ad-products""><div class=""bundle-ad-products-section""><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/life-small-icon.png""><h3 class=""life-insurance"">Assurance Vie</h3></div><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/disability-small-icon.png""><h3 class=""disability-insurance"">Assurance Invalidité</h3></div></div><div class=""bundle-ad-products-section""><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/auto-small-icon.png""><h3 class=""auto-insurance"">Assurance Auto</h3></div><div class=""bundle-ad-product""> <img class=""webicon small"" src=""/sites/default/files/home-small-icon.png""><h3 class=""home-insurance"">Assurance Habitation</h3></div></div></div></div> <div class=""bundle-ad-footer""> <div class=""bundle-ad-footer-text""> <h1>130€</h1><h3> par mois pour 12 mois</h3> <p>Vous économisez  22% en souscrivant à l'ensemble de ces produits.</p> </div><div class=""bundle-ad-footer-button""> <a class=""button alert"">En savoir plus</a></div> </div></div>"
0c0059b7-1197-49ba-8374-edfa630bbb7f,Produits,"<div class=""user-product""> <div class=""product-info""> <div class=""product-info-left""> <img class=""webicon small"" src=""/sites/default/files/disability-small-icon.png""> </div> <div class=""product-info-right""> <h2>Assurance Invalidité</h2> <p> Expire le 2 septembre 2016 <br /> <b>Plus que quelques mois</b> </p> <h6> Reste du: <br /> <b>2 septembre 2016</b> </h5> <div class=""product-buttons""> <a href="""" class=""product-button button"">Gérer Vos Contrats</a> </div> </div> </div></div>"
5ccd0073-58a2-4940-9ce9-3b1e684d3bd1,Produits Autres,"<div class=""user-product""> <div class=""product-info""> <div class=""product-info-left""> <img class=""webicon small"" src=""/sites/default/files/auto-small-icon.png""> </div> <div class=""product-info-right""> <h2>Assurance Auto</h2> <p> Expire le 25 juillet 2016 <br /> <b> Plus que quelques mois</b> </p> <h6> Reste du : <br /> <b> 25 juillet 2016</b> </h5> <div class=""product-buttons""> <a href="""" class=""product-button button"">Gérer Vos Contrats</a> <a href="""" class=""product-button button alert"">Payer Le Solde</a> </div></div> </div></div>"
90cecb00-9a67-40f6-a64f-932ff753ca51,Navigation Spécifique,"<ul class=""user-nav""> <li><a href=""/user/edit"">Paramètres du compte</a></li> <li><a href=""/user/edit"">Editer mon profil</a></li> <li class=""user-nav-manage-policies""><a href=""#"">Gérer Mes Contrats</a></li> <li class=""user-nav-logout""><a href=""/user/logout"">Se Déconnecter</a></li></ul>"
370ab1dd-01be-454a-bf9a-526bfeb3f8c5,Notre Histoire,"<div class=""our-history-wrapper full-width-row""><div class=""full-width-inner""><div class=""row""><div class=""columns""><h3>Notre Société</h3></div></div><div class=""row medium-unstack""><div class=""columns""><div class=""history-content""><p>La société Bayside Associates a été fondée par les agents d'assurance Daniel Smith et Jean Neige à Avignon au printemps 1928. Daniel et Jean partagèrent les valeurs du service au client afin de devenir une entreprise gérantissant la capacité de protéger les gens et leur famille des accidents de la vie.</p><p>Si beaucoup de choses ont changé depuis ce temps, la mission de Daniel et Jean demeure encore une réalité à Bayside. Nous sommes engagés à servir nos clients avec la touche personnelle que chacune mérite.</p></div></div><div class=""columns""><p>Nous sommes engagés à servir nos clients avec la touche personnelle que chacune mérite.</p><p><a class=""button small hollow"" href=""/history"">EN SAVOIR PLUS</a></p></div></div></div></div>"
3186e090-6932-4b1c-a867-5f7bd5706c33,Contenu de la Page Concours,"<div class=""contest-content row""><div class=""large-9 columns""><h2>Regroupez vos aussurance auto et tentez votre chance!</h2><hr /><h4>Lorsque vous ajouter une assurance auto à votre contrat, vous aurez la possibilité de remporter des places pour le Classic Car Show </h4><p>La souscription à cette offre entraîne automatiquement votre enregistrement à ce concours. Pour augmenter vos chances de gagner, vous pouvez partager cette page jusqu'à 3 fois sur les réseaux sociaux en appuyant sur le boutton.</p><ul class=""clearing-thumbs"" data-clearing><li><a href=""/sites/default/files/carshow.jpg""><img src=""/sites/default/files/carshow-th.jpg""></a></li><li><a href=""/sites/default/files/carshow2.jpg""><img src=""/sites/default/files/carshow2-th.jpg""></a></li><li><a href=""/sites/default/files/carshow3.jpg""><img src=""/sites/default/files/carshow3-th.jpg""></a></li></ul></div><div class=""large-3 columns""><div class=""contest-share-dropdown""><button href=""#"" data-dropdown=""drop1"" aria-controls=""drop1"" aria-expanded=""false"" class=""button dropdown"">Partagez pour Gagner!</button><br><ul id=""drop1"" data-dropdown-content class=""f-dropdown"" aria-hidden=""true""><li><input id=""facebook"" type=""checkbox""><label for=""facebook"">Facebook</label></li><li><input id=""twitter"" type=""checkbox""><label for=""twitter"">Twitter</label></li><li><input id=""pinterest"" type=""checkbox""><label for=""pinterest"">Pinterest</label></li><li class=""contest-share-submit"">Partagez</li></ul></div></div></div><div id=""contestModal"" class=""reveal-modal"" data-reveal aria-labelledby=""modalTitle"" aria-hidden=""true"" role=""dialog""><h2 id=""modalTitle"">Merci de votre participation!</h2><a class=""close-reveal-modal"" aria-label=""Close"">&#215;</a></div>"
722bc827-bef4-48e6-b7a2-3fb49cfbe144,Concours Publicitaire,"<div class=""contest-hero""><img class=""contest-hero-image"" src=""/sites/default/files/contest-hero.png""><h2>Regroupez vos assurances auto et</h2><h1>tentez votre chance!</h1><img class=""contest-hero-trust-badge"" src=""/sites/default/files/trust-badge.png""></div>"
0e17ff3a-c54c-4655-a858-8882fd3ce1cb,A propos,"<p>Le groupe financier Bayside Associates est un fournisseur mondial d'assurance et de plans d'épargne entreprise. Depuis sa création en 1928, Bayside Associates offre des produits aux particuliers, à leur famille et aux entreprises afin de les accompagner tout au long de leur vie.</p><p>Que vous soyez un particulier à la recherche d'une assurance auto ou habitation, ou que vous soyez une famille cherchant à protéger les siens, Bayside possède l'offre qu'il vous faut.</p>"
