UUID,Info,First Line,Second Line,Link,Link Title
c842ea03-fc8e-4162-b84c-994ab92c68ca,Hero Homepage,Depuis 1928,Le groupe financier Bayside Associates est votre partenaire pour protéger ce qui vous est le plus cher.,,
2443b3ee-8145-4d68-b411-17a217a4ff41,Hero Auto,Assurance Auto,Demandez un devis gratuit d'assurance auto et vous pourrez économiser 500€ ou plus?,internal:/contact/get_a_quote,Demande de Devis
aa8874e3-a77c-4a94-a000-c73eb9b9bbb7,Hero Habitation,Assurance Habitation,Protége votre bien le plus précieux.,internal:/contact/get_a_quote,Demande de Devis
d55931bb-61f0-4ae4-a300-e12ec2ae0e8c,Hero Vie,Assurance Vie,Protège ceux qui dépendent de vous.,internal:/contact/get_a_quote,Demande de Devis
11d2f248-2778-4361-893d-61c1f65b2b52,Hero Invalidité,Assurance Invalidité,Travaille à votre place lorsque vous êtes absent.,internal:/contact/get_a_quotee,Demande de Devis
f61f1a8c-f35e-453f-ab00-f315eb1783fd,Hero Auto Promo,Vous recherchez une assurance auto?,Laissez-nous prendre le volant.,internal:/product/auto-insurance,Demande de Devis
accc4b45-c69a-48b5-b600-e5c412fdde79,Hero Promo Logement,Ceci est votre chateau,Choisissez les meilleures garanties.,internal:/product/home-insurance,Demande de Devis
0118fc53-2f8c-4fde-bc00-d2be6aee3ae1,Hero Promo Vie,Protéger vos proches,Mettez-vous à l'abri. Aujourd'hui.,internal:/product/life-insurance,Demande de Devis
e898f5ae-bb0e-46cc-8600-c3971b69906f,Hero Promo Invalidité,Se prémunir de l'inattendu,Laissez-nous travailler pour vous,internal:/product/disability-insurance,Demande de Devis
da90147e-5b6f-40b8-9800-de73490149f1,Hero Produits,Nos Produits,Vous fournir des offres taillées sur mesure est plus facile que vous ne le pensez. Nous mettons tout en oeuvre pour fournir des offres abordables et personnalisées.,,
e834ce73-7029-4bff-8613-19b4b579bf56,Hero Contact,24 X 7 X 365,Nous sommes là pour vous aider.,tel:0 800 123 456,Nous Appeler
a92507c6-bf8b-4460-bf42-66b4a1fa890e,Hero Devis,La tranquilité démarre ici.,C'est simple et rapide - et vos informations sont protégées.,,
bc5cd050-336b-42b5-a300-cd6a85fe6a7a,Article Slide,Travailler avec un conseiller financier,Pourquoi Faire Seul?,internal:/article/working-financial-professional,Lire L'Article
