UUID,Info,First Line,Second Line,Link,Link Title
6c3b01a2-acfe-47e7-8ece-47b78ee75c6d,startups héroe,La creación de empresas comienzan aquí,Adaptamos nuestros diseños que se adaptan a su estilo de puesta en marcha. Explora todas nuestras colecciones de estilo para empezar,internal:/shop/office,Explorar
f23e259b-6ebe-435c-8c67-be4cebb150a1,Oficina inspirador,Espacios inspirador de oficina,Trabajo con propósito merece espacios significativos que inspira la innovación y la creatividad.,internal:/shop/office,Empieza
c49c9224-35d0-4ffb-8ebc-f66a2af144a7,Suscripción CTA héroe,Nunca pasan de moda,"Suscribirse a alquilar cualquier cosa, desde escritorios hasta el arte y siempre tienen una decoración en la cúspide de las tendencias de diseño",internal:/subscribe,Suscribir
59c3fd0b-128b-42a1-84fa-ca062bf6b4d5,Diseñar CTA héroe,¿Necesita un toque de diseño?,Programar una cita de consulta con uno de nuestros diseñadores premiados. Dejar todo el trabajo a nosotros y volver a hacer lo que mejor sabe hacer!,internal:/locations,Encontrar un diseñador
8de0c34d-3203-47d0-9c27-d4375db1883c,Ubicación del héroe,nuestras ubicaciones,,,
7de476f7-dc52-437a-8dcd-f8a5b4001765,Darse una oficina de Título,Representar identidad de su marca,Comience con una de nuestras colecciones a medida,,
2a9da6b1-dcd3-4480-a24b-43c7dd8637d9,Héroe de la tienda de Ministerio,Nuestro paquete Ambiente,"Convenientemente refrescar el aspecto de su espacio al año, sin costo adicional, o en cualquier momento por una tarifa fija.",internal:/,Dime más
abe88b55-1a2f-44e1-8776-50ad15068450,El centro CTA héroe,Lanzamiento de lujo,Rodear su puesta en marcha con el mobiliario y la decoración de lujo más fino. Como fuente de inspiración para crecer con nuestra colección del centro de estilo.,internal:/product/downtown-collection,Impresióname
ea3d7402-2c5c-43eb-bf5e-1189161dc4c4,Casual CTA héroe,"Su espacio, sus reglas",El diseño de su oficina para adaptarse a su personalidad y la marca. Llenar su espacio con nuestra colección creativa estilo casual.,internal:/product/casual-collection,Muéstrame
cbef9266-b724-4782-a5f2-9cc193a3e382,HR Personaje del CTA héroe,La última herramienta de reclutamiento,Impresionar a sus posibles candidatos con un diseño electrónico sofisticado. Explora todas nuestras colecciones de estilo para empezar.,internal:/shop/office,Explorar
b90504e1-9093-48ce-90ed-9af0460cd0fe,Personaje del reclutador CTA héroe,Diseñado para el Milenio modo de pensar,Atraer a la mayor generación de candidatos mediante la adaptación de su oficina para sus necesidades. Eche un vistazo a nuestra colección de estilo de la tecnología.,internal:/product/technology-collection,Muéstrame
e98eaf64-bd71-4d80-bade-e24b29bc9188,Reclutador Personaje del Alt CTA héroe,"El reclutamiento agudo, bordes más nítidos","Influir en los mejores candidatos con una decoración sofisticada, colores sólidos, y los bordes afilados. Empieza a explorar la colección de estilo minimalista.",internal:/product/minimalist-collection,Impresióname
b5c679d0-19e2-4835-8143-371876c4f463,Acerca de héroe,Sobre nosotros,,,
57e42285-46e0-413a-9d6a-0cae78959df3,NYC promo héroe,Apertura de la ciudad de Nueva York,25% de descuento en nuevos clientes - use cupón "obionyc",,
