UUID,Title,Link
21e770a5-304f-40dc-b6bd-1cf3cf2221cb,Para Oficina,entity:node/fea94828-3622-413f-a9ce-4871894991b8
d8519953-8cf3-47ca-a6d2-addc41282c41,Sobre,entity:node/f4144f20-255f-4e29-8a40-ecee47971106
f2393bea-54b2-4de4-8dd3-70e6db1e5f17,Inspiración,entity:node/f0ae1167-73ff-4045-a60a-6f7ee25ded25
26b96398-cf3f-4367-903f-e7c2debd8d06,Ubicaciones,entity:node/102a2d1c-d869-43cb-a6f1-435409863171
34f752f4-a59a-4f13-b953-73369cfab82a,Secondary Menu,internal:/null
848dd8e8-4bc4-42c7-a3c0-169d309f597f,Mi Cuenta,route:user.page
6e58c5df-ae62-4609-a1e0-819546cdd136,Carro,route:commerce_cart.page
7176fef5-cd46-423c-8016-ecf434bd67e3,Para Oficina,entity:node/fea94828-3622-413f-a9ce-4871894991b8
776ffa6f-838d-4338-a2bc-d2c9536edc4a,Sobre,entity:node/f4144f20-255f-4e29-8a40-ecee47971106
0bbe09b1-1653-46db-8ee3-39d63955a757,Inspiración,entity:node/f0ae1167-73ff-4045-a60a-6f7ee25ded25
a705d853-7598-4fc5-9f82-bdb5be19b6d1,Ubicaciones,entity:node/102a2d1c-d869-43cb-a6f1-435409863171
83186039-563d-439b-b3e7-1d2d2ea21559,Mi Cuenta,route:user.page
6712ceec-c4f9-4c82-9288-835fca755311,Colección ecológico,entity:node/24c573a5-8912-450e-8046-42325f407504
0ebc94d9-99ab-448e-abfc-7d1d46364a95,Colección tecnología,entity:node/558b7e1b-3593-42d3-8e55-dbf688a1a9b5
244951f0-5d98-4833-b2df-e33bc1781b57,Colección minimalista,entity:node/a5cccb33-7d53-4c07-b65b-b22762e73ba9
12c70db0-21d5-4318-b5ef-662f33214b33,Colección centro,entity:node/3036167e-1f94-41ba-8926-f6072630b1ef
6380658e-f8d1-4a7e-9a47-61604b7b03bd,Colección Casual,entity:node/74547a43-2417-4bdc-af38-35e668ebf6c3
f9e79ef4-6070-405e-80b6-193efd0f3ed6,Colección Vendimia,entity:node/80f3822f-2304-4f45-8c26-13b1a9deea88
