UUID,Title,Subtitle,Body
cdb4e570-ff8b-4085-91e9-ae50df32ab68,3 Tendances de Design de Bureau que Chaque Fondateur doit savoir,les tendances de conception qui alignent votre entreprise pour le succès,"<p>En tant que fondateur de startup, une de vos principales responsabilités est de veiller à ce que votre équipe bénéficie d’une efficacité maximale. Nous croyons que la pierre angulaire de l'efficacité réelle de travail est dans la conception de votre lieu de travail. </p><p>Comme tout, la conception du lieu de travail varie au fil du temps. Les tendances évoluent, vos bureaux doivent suivre, ou vous risquer de nuire à l’efficacité des employés. </p><p>Regardons trois grandes tendances du design de bureau et leur impact sur la performance de votre équipe. </p><drupal-entity data-align='center' data-embed-button='media_browser' data-entity-embed-display='view_mode:media.embedded' data-entity-type='media' data-entity-uuid='63213c8c-6ec0-4c07-a396-bcf7898b8fe8'></drupal-entity><h2>1. Confidentialité dans un monde Open-Office </h2><p>Pendant des décennies, les bureaux fermés ont dominé la conception des bureaux, mais à la fin des années 90, une nouvelle tendance est apparue: le bureau ouvert - openspace. Les « Cubicle » ont chuté, ce qui a donné lieu à des postes de travail sans murs ni barrières. </p><p>Les bureaux ouverts promettent une plus grande collaboration et créativité, et pour plus d'une décennie, l'innovation a prospéré. Pourtant, au cours des dernières années, l'insatisfaction des employés a augmenté. Plus de 90% des travailleurs dans le monde entier * citent un manque d'intimité comme une source majeure de morosité en milieu de travail. Lorsque les employeurs ont enlevé les murs, ils auraient, paraît-il, emporté la vie privée de leurs employés. </p><p>Le bureau d'aujourd'hui doit permettre des moments de la vie privée tout au long de la journée. Lorsque vous concevez votre nouveau bureau, pensez à des petites salles pour deux ou quatre personnes. Cela permettra une collaboration plus intime ou des opportunités pour les employés solitaires de prendre une pause de leurs collègues et de se concentrer sur leurs propres missions </p><p>Inspirez vous: <a href = ""/product/downtown-collection"" >Découvrez la collection Downtown style &gt; &gt; </a></p><drupal-entity data-align='center' data-embed-button='media_browser' data-entity-embed-display='view_mode:media.embedded' data-entity-type='media' data-entity-uuid='1296c7ac-0139-4638-85d5-f938e00472fd'></drupal-entity><h2>2. Integrated Technology </h2><p>Avec l’arrivé de la génération « millénaire » (et la génération Z juste derrière eux), l’intégration à technologiques deviendra indispensable à toute conception de bureau moderne. la main-d'œuvre d'aujourd'hui est pas attaché à un ordinateur de bureau ou téléphone. Le cordon a été coupé. </p><p>Si vous cherchez à maximiser l'efficacité de vos employés tech-savvy, envisager des meubles et des conceptions qui intègrent la technologie du sol au plafond. Stations de recharge sans fil en cas de chargeur oublié, et les nouvelles technologies de LiFi seront bientôt intégrés dans tout le bureau, donnant aux employés la liberté de se disperser et rester connecté </p><p>Inspirez vous:. <a href = ""/product/technology-collection"">Découvrez la collection Tech Style &gt; &gt; </a></p><drupal-entity data-align='center' data-embed-button='media_browser' data-entity-embed-display='view_mode:media.embedded' data-entity-type='media' data-entity-uuid='b0d45e22-713d-48a6-9720-c28b8f612324'></drupal-entity><h2>3. Bien-être au travail </h2><p>Nous savons que les programmes de bien-être sont devenus la base de tout programme d'avantages sociaux des employés, mais le bien-être est plus que vous assurer que vos employés restent en bonne santé en dehors du travail. Une tendance croissante est de maximiser la santé de vos employés au travail. </p><p>Le WELL Building Standard ™ est une initiative de certification souscrit par Obio et qui favorise le bien-être grâce à un certain nombre de facteurs. < / p><p>tables assis-debout améliore la santé et l'esprit des employés (et les garde d'être mollassons). produits certifiés LEED®-assurent également que vous achetez uniquement des matériaux respectueux de l'environnement, qui conduisent à une culture d'entreprise plus positive </p><p>Inspirez vous: <a href=""/product/eco-friendly-collection"">Découvrez la collection Eco-friendly style &gt; &gt; </a></p><p>Vous avez quelque chose à ajouter l’article? Laissez-nous un <a href=""#comments"">commentaire </a></p><h6>Ressources:. <br /><Sub>* <a href = ""http://www.businessnewsdaily.com/7456-workspace-design-productivity.html"">http://www.businessnewsdaily.com/7456-workspace-design-productivity.html</a></sub></h6>"
c8317f4e-0a58-4922-8095-4a848bfd2f3e,Rencontrez Shawn et voir comment Casual Collection fonctionne pour son entreprise,Profil client,"<p>Je suis Shawn James, et je suis le fondateur et PDG de Slam Jam-Acoustics. Nous sommes une société d'enregistrement de DJ et logiciel d'édition en nuage basée à Boston, Mass. </p><p>Notre société est construite par les amateurs de musique, ce qui rend le logiciel incroyable pour d'autres amateurs de musique. Nous sommes jeunes, la plupart d'entre nous sont dans nos fin de vingtaine, début trentaine. </p><p>Pour une entreprise de la génération « millennaire », la Collection style décontracté de obio correspond à notre désir de travailler d'une manière qui correspond à notre style de vie et de l'entreprise . culture </p><p>Je ne suis pas un concepteur; Je suis ingénieur et musicien. Mes employés sont les mêmes. Obio est comme une extension de notre équipe, aider à concevoir notre espace et à façonner une partie de ce qui rend Slam Jam-grand. </p>"
51d9f3f2-cbc7-4713-9fbb-f2e062165115,Rencontrez Sarah et voir comment cette collection fonctionne pour son mode de vie,Profil client,"<p>Je suis Sarah Kelly, gestionnaire de bureau et coordonnatric pour Bayside Insurance, un fournisseur d'assurance basée à San Francisco. Bayside Insurance a fourni des services d'assurance dans la région de la baie depuis plus d'une décennie, mais a récemment ouvert un bureau secondaire à Boston. </p><p>Dans le cadre de cette expansion, je déménagé au Massachusetts et été chargé de la conception de notre nouvel espace. Je l'avais acheté des meubles et de l'art pour notre bureau avant, mais ne l'avais jamais commencé à partir de zéro. Un collègue m’a recommandé Obio, et j’ai été tout de suite impressionné par la variété des collections et Ambiance en Forfaits disponibles pour moi. </p><p>Notre bureau d'origine avait un look décontracté, mais pour correspondre à l'atmosphère professionnelle de Boston je suis tombé sur la collection du centre-ville, qui s'adaptent parfaitement dans notre culture. Nos clients sont toujours impressionnés quand ils nous rendent visite, et nos employés aiment  un nouveau style incluse dans notre forfait Ambiance Or. Nous sommes sur le point d'emménager dans un nouvel espace à San Francisco, et Obio est numéro 1 sur notre liste de fournisseurs pour travailler sur notre conception d’intérieur. </p>"
917f8fd4-da66-4bfc-84c1-f5a8d1d49966,Rencontrez Thomas et voir comment cette collection fonctionne pour son entreprise,Profil client,"<p>Mon nom est Thomas Bazzi, et je fonde CompuKoozie, une start-up qui crée les détenteurs de bière intelligents qui permettent de suivre votre consommation de boissons grâce à notre application compagnon. Lorsque nous avons reçu notre première série de financement que nous voulions ouvrir un nouveau bureau avec un style représentatif de notre culture d'entreprise. </p><p>Je suis tombé sur Obio et ai été séduit par la Collection Vintage, qui m'a rappelé mon bar local favori, ce qui m'a inspiré pour l'origine de mon produit. Après avoir examiné nos options, nous avons fini par aller avec le forfait Ambiance Platinum, qui nous permet de rafraîchir notre espace avec un nouveau décor tous les six mois. </p><p>Travailler avec Obio a été une grande expérience, et notre espace unique a fait des merveilles avec le personnel de CompuKoozie. Comme nous continuons à grandir, je sais que je peux contacter Obio et leur faire confiance pour réorganiser notre bureau à toutes les tailles et dans tous les styles. </p>"
005a8c97-bb04-40e6-95f0-67e75999e2c5,Nettoyage de votre empreinte carbone au travail,4 conseils pour faire un bureau de carbone neutre,"<p>L'employé américain moyen utilise plus de 10.000 feuilles de papier  chaque d'année <a href = ""http://www.bizjournals.com/buffalo/blog/morning_roundup/2014/05/pulp-fiction-how-many -trees-ne-it-take-to-make.html ""target ="" _ blank "">à peu près égale à 1,2 </a>arbres. Avec tant de changements climatiques et environnementales, nous devons tous faire ce que nous pouvons pour réduire l'impact négatif que nous avons sur la planète. </p><p>Mais il y a plus que nous pouvons faire que de simplement économiser du papier. Consultez nos quatre conseils pour le nettoyage de votre empreinte carbone au travail. </p><h3>1. Réduire la consommation d'électricité </h3><p>A la fin de chaque journée de travail, éteignez tous les appareils électroniques, en particulier des ordinateurs. Les réglages ""en attente"" ou ""sommeil"" consomment encore beaucoup d'électricité inutile. </p><p>Définissez vos ordinateurs et autres appareils électroniques à leurs meilleurs réglages possibles d'efficacité. Par exemple, la plupart des moniteurs peuvent se fermer après une période de temps, disons 15 minutes, de l'oisiveté. </p><p>Désactiver les lumières dans les conférences chambre ou une cuisine lorsqu'ils ne sont pas en cours d'utilisation. Aller plus loin et installer des détecteurs à mouvement de détection pour assurer de ne jamais oublier. </p><h3>2. Aller numérique, mais si vous devez utiliser du papier ... </h3><p>Il peut sembler évident en 2017, mais il vaut la peine de répéter: Go numérique. Avec autant de services disponibles en ligne et dans le nuage, la plupart des entreprises ont peu de raisons pour avoir besoin de rien à l'impression. Le stockage numérique permet également Voyage d'affaires et des bureaux mobiles un jeu d'enfant. </p><p>Mais si vous devez utiliser du papier ... s'il vous plaît acheter du papier recyclé et être diligent au sujet de ce que vous imprimez et comment. Rechercher des imprimantes capables d'imprimer recto-verso et d'acheter des cartouches d'encre rechargeables. </p><p>Une solution simple que nous utilisons à Obio (pour les rares fois où nous avons besoin d'imprimer) est de jeter tout papier imprimé qui ne sont plus nécessaires dans un bac ""whoops"". Une fois que nous avons assez ""whoops"" papier, nous les lions ensemble pour créer des blocs notes sur le côtés vide </p><p>Une dernière idée:.. Si vous expédiez beaucoup, utilisez votre papier déchiqueté comme matériau d'emballage </p ><h3>3. Travail à domicile </h3><p>Le meilleur conseil que nous pouvons offrir à nettoyer votre empreinte carbone au travail est de réaménager votre espace de bureau avec des conceptions écologiques. Notre Style Collection Eco-friendly, par exemple, propose des meubles de bureau fabriqués à partir de matériaux recyclés. Lors de l'achat, comparer certifications LEED® sur les produits. </p><p>Vous pouvez également améliorer votre qualité de lumière avec des lampes de bureau LED et en permettant à la lumière le plus naturel possible à travers vos fenêtres de bureau (et réduisant ainsi la nécessité d'utiliser lumières électriques du tout) </p><p><a href=""/product/eco-friendly-collection"">Get Inspired:. Explorez le style Collection Eco-friendly ></a></p>"
63cfeb37-8bce-4883-9dfc-a9c72477173f,Comment recruter et retenir des employés avec le Bureau parfait design,Les trois éléments clés de votre bureau comme un outil de recrutement,"<p>En tant que recruteur pour votre entreprise, vous savez comment les packages, la rentabilité de l'entreprise et les opportunité de carrière sont nécessaire pour attirer les meilleurs candidats dans votre industrie. Et une fois embauché, vous comprenez que la culture d'entreprise, l'équilibre travail-vie, et les primes prévisibles peuvent les fidéliser. Mais si l'on considère tout ce qui va du recrutement et la rétention, à quelle fréquence pensez-vous à la conception de votre bureau? </p><p>La mise en place et l'apparence de votre bureau devrait être l'un des principes les plus essentiels de votre stratégie de recrutement et de rétention . Selon le rapport de « Millennial impact 2015 », l'environnement de bureau est le quatrième facteurs le plus importants lors du choix d'un emploi pour quelqu’un issue de la génération « millénaire ». </p><p>Comment pouvez-vous concevoir votre bureau pour améliorer votre recrutement et maintenir vos effectifs? Nous vous recommandons de prévoir des bureaux pour <strong>la collaboration </strong>, <strong>la flexibilité et l'accessibilité </strong>et <strong>la luminosité </strong>. </p><h3>Collaboration </h3><p>Avec les technologies d'aujourd'hui, les gens ont le choix de travailler de la maison ou du bureau. Pour ceux qui préfèrent cette dernière option, la collaboration est la véritable raison. Les gens veulent travailler avec d’autre personnes, apprendre d'eux et  faire de grandes choses ensemble. La conception de votre bureau, par conséquent, devrait faciliter ce besoin pour mieux recruter et retenir les employés. </p><p>Les grands plans de travail, tables de conférence, et ateliers favoriseront cette collaboration, mais si vous êtes à la recherche de nouvelles idées, envisager de visiter des établissements d'enseignement supérieur. Vos nouveaux employés millénaires viennent de passer au moins quatre ans à collaborer avec des moyens créatifs et prévu pour. Visiter une université locale et trouver l'inspiration </p><p><a href=""/product/casual-collection"">Get Inspired:. Découvrez notre collection Style Casual ></a></p>< h3>Flexibilité et accessibilité </h3><p>Tous les employés veulent la liberté de choisir comment effectuer leur travail. Personne ne veut être avoir à s’asseoir dans un placard et taper sur un clavier huit heures par jour, cinq jours par semaine. Pour fournir la flexibilité de vos employés méritent, apporter des postes de travail sur roues. Obtenez des bureaux qui permettent des personnalisations assis-debout et qui viennent avec des murs de confidentialité rétractables pour les employés qui ont besoin de calme pendant le «temps de crise». Vous devriez également envisager de fournir aux employés de modifier la luminosité, la température et la ventilation au bureau. </p><p>Vous devez également considérer l'accessibilité lors de la conception de votre bureau. Que ce soit pour des raisons légales (ADA) pour les personnes handicapées ou pour  fournir un soutien pour les bureaux multi-générations, considérer les nuances et les besoins de l'accessibilité de vos employés. </p><h3>Lumières </h3><p>Avez vous déjà travaillé dans un bureau sans fenêtre? Ressenti le bourdonnement des lumières fluorescentes blanches vives sur vous? Si juste la lecture de ces mots vous ressentez un peu de stress, alors vous ne devriez pas avoir du mal à comprendre l'importance de la lumière naturelle au bureau. </p><p>La lumière naturelle est prouvée pour améliorer l’efficacité et la productivité de vos employés. De plus, les bureaux éclairés naturellement sont en général plus beau, n’oubliez pas l'importance de la première impression des candidats lors de leur entretien. </p><p>Même si vous ne disposez pas de grande porte-fenêtres, vous pouvez toujours réussir à apporter autant que possible la lumière naturelle le bureau. Laissez tomber les stores - ou laissez les ouverts par défaut. Désencombré sur les muts. Vous pourriez même envisager de démolir les murs et les remplacer par des cloisons vitrées </p><h3>Conclusion: Conception compétitif </h3><p>A chaque étape du processus de recrutement, vous êtes en concurrence avec d'autres employeurs pour les meilleurs candidats. Les arguments ne sont pas tous sous votre contrôle (qui peut prédire les forces économiques du marché avec précision?). Néanmoins, votre bureau est 100% de votre pouvoir, et vous pouvez vous assurer que quand un candidat ou employé passe à travers la porte, le design de votre bureau dépasse ceux de la concurrence. </p><p><a href = ""/ shop / bureau"" >Get Inspired: Découvrez nos Collections Aujourd'hui ></a></p>"
3f2d7116-00e9-44da-abb0-c27bbdb752c6,3 raisons de ne jamais se satisfaire de la conception de votre bureau,Inspirez la créativité et attirer de nouveaux talents,"<p>La conception d'un bureau est un peu comme l'achat d'un nouvel iPhone. Au début, vous ne pouvez pas le lâcher du regard, vous aimez explorer les détails, et vous aimez la façon dont il est assemblé. Mais tout comme un iPhone, après quelques années, il est temps pour une mise à niveau. </p><p>Les nouvelles tendances émergent, tandis que les vieilles tendances glisser loin dans le passé. Le bureau que vous avez conçu il y a un an ne peut pas être aussi moderne que par le passé. Voilà pourquoi nous avons créé nos forfaits Ambiance, un service par abonnement de Obio qui gardent vos bureaux modernes. </p><p>Toujours pas convaincu? Voici trois raisons compétitives pour lesquelles vous ne devriez jamais être complaisant à propos de la conception de votre bureau. </p><h3>1. Grossir </h3>Votre entreprise <p>Lorsque vous avez fondé la société, vous avez eu une poignée de fidèles employés répartis dans des bureaux et des tables, travaillant toutes les heures de la journée pour construire une startup réussi. En raison de cette détermination, vous avez trouvé le succès et maintenant vous avez besoin de nouveaux employés pour continuer. </p><p>Tout cet espace a rétréci au vu du nombre de corps qui le remplisse. Si ce scénario semble trop familier, vous devez tenir compte de la mise à jour de votre mise en place de bureau et de sa conception. </p><p>De nouveaux plans de travail permettent plus de corps sans devoir être serré comme des sardines. Échangez ces bureaux exécutifs massifs pour quelque chose de plus simple qui ne compromet pas l'ergonomie. </p><h3>2. Vos meubles sont obsolètes </h3><p>Ces fauteuil que vous avez dans le coin que personne n’utilise? Il y a une raison pour cela. La mode va et vient, et la conception de bureau n’est pas épargnée. </p><p>Mais nous ne parlons pas uniquement de bureaux et des chaises. Rappelez-vous la technologie joue un rôle essentiel dans l'aspect et la convivialité de votre bureau. Pour les clients qui ont acheté obio <a href=""/product/technology-collection"">Style Collection Tech </a>, ils ont la possibilité d'ajouter sur Ambiance forfaits qui incluent la maintenance du matériel régulier et les mises à niveau de logiciels libres. (Pour en savoir plus, cliquez ici.) </p><h3>3. Les bureaux de vos concurrents sont des images miroir </h3><p>Avez vous visité les bureaux de vos concurrents récemment? Un air de déjà vu? Peut-être qu'il est temps d'envisager d'ajouter ""la conception de bureau» à votre analyse SWOT. </p><p>Comme les tendances se généralisent, de plus en plus d'entreprises commencent à s’inspirer des uns des autres jusqu'à ce que chaque bureau que vous visitez vous semble être une extension du précédent . </p><p>nos Ambiance les forfaits comprennent des options personnalisées pour nos clients. Nos spécialistes Ambiance travaillent directement avec nos clients pour concevoir et livrer des meubles sur mesure, des éléments, ou des illustrations. Par conséquent, votre bureau est vraiment unique </p><p><a href=""/shop/office"">Get Inspired:. En savoir plus sur nos forfaits Ambiance ></a></p><p><em>Demandez plus d’information? Laissez-nous un commentaire. </Em></p>"
6e67a931-4c13-4c0a-bcea-d5cb1cda64b2,Rencontrer le jeune Designer Qui révolutionne l'industrie,Apporter la conception modulaire au monde moderne,"<p>Dans le monde du design d'intérieur, il est facile de suivre ce que les tendances sont en vogue, mais très peu mène le jeu avec un travail créatif et original. Habituellement, ces leaders ont des décennies d'expérience dans l'industrie, mais dans de rare cas le monde du design voit un jeune designer sortir de, apparemment, nulle part. </p><p>Cette année, ce concepteur a sans aucun doute été Frederick Chui, 25 ans de travail sur Los Angeles pour Laviini, une petite entreprise axée sur les petits meubles de bureau modulaire. Chui a seulement commencé à travailler il y a trois ans, mais conçoit de façon indépendante des meubles depuis l'âge de 16 ans. </p><p>Le travail Chui fait à Laviini se concentre sur des meubles modulaires, qui sont des pièces qui peuvent être facilement stockées ou réorientées pour une variété d'utilisations. Son premier travail au sein du cabinet, le Harmaa, est une grande table qui comprend quatre chaises pliées au sommet de sa frise. Les chaises sont également modulaires, et ont le dos qui peuvent se replier vers le bas pour former une petite table d'angle. </p><p>Le travail de Chui a été reconnu dans le monde professionnel sous la forme d'un prix international « Interior Innovation » et des interviews dans les magazines comme « Sit Up Straight » et « Modern Matte ». En tant que partenaire avec Laviini, Obio est fier de présenter dans nos collections et produits la dernière collection Chui. </p><p>Si vous êtes intéressé par une conception modulaire, assurez-vous de consulter notre Collection Minimaliste, qui comprend le Harmaa et produits similaires qui peuvent adapter à un espace de travail de toute nature et de la taille. Pour plus de produits Laviini, assurez-vous de jeter un coup d'oeil dans les articles individuels ou contactez-nous pour voir si nous pouvons ajouter des meubles modulaires sur votre Package Ambiance existant. </p>"
b9fe7602-4d3a-4ebb-b5ce-aeca22dd05f2,Prendre des idées de restaurant Design pour votre maison ou bureau,"Les dernières tendances, chaudes et fraîches sur la cuisine","<p>Le monde du design du restaurant est aussi rapide rythme et nuancé que l'industrie elle-même, ce qui a conduit l’art de maison et de bureau à regarder et attendre les nouvelles tendances du monde de la restauration. Nous avons compris cela à Obio, et nous avons compilé une liste de nos éléments de design préférés pour nos clients et les lecteurs. </p><h3>Faites vos fautes Caractéristiques </h3><p>Les meilleures tendances de cette année, eh bien, tout. Alors que la dernière décennie a vu un boom dans les murs de briques et des tables en bois non finis, nous voyons maintenant que chaque partie d'un bel espace brut, devrait être présenté brut. Des planchers en béton légèrement traités au bois recyclé jonchés de clous, laisser vos espace ouvert à l'interprétation est parfois mieux que d'essayer de couvrir vos défauts. Si votre bureau ou votre maison est dans un lieu historique, ou les locataires précédents ont laissé quelques points de discussion intéressants derrière, vous voudriez peut-être poser le marteau et regarder différemment. </p><h3>Up, Up, and Away </h3><p>Suivant la tendance de travailler avec vos espaces, les restaurants ont commencé à regarder vers le haut pour leur conception. Si vous êtes assez chanceux d’avoir à se déplacer dans un bâtiment avec de hauts plafonds, il y a beaucoup d'options pour habiller cet espace vide. Une approche intéressante consiste à mettre en œuvre un habillage unique sur le plafond, souvent quelque chose de structurel comme du papercraft, du tissu lâche, ou un grand motif de bois géométrique. En faisant le plafond une partie de votre espace, et non pas seulement un endroit où vos lumières sont accrochées, vous invitez vos invités à lever les yeux vers le haut en direction de zones qui seraient autrement passer inaperçues. Si vous voulez inspirer la pensée créative dans votre famille ou le personnel, cela est une excellente façon de commencer. </p><h3>Le salon est de Retour </h3><p>éclairage sombre, sièges en cuir et boiseries sombres sont tous de retour à la mode au vu des restaurants qui commencent à relancer l’âge d'or du design salon mi-siècle. La mise en œuvre d'un style lounge dans votre bureau ou à la maison est un excellent moyen de lutter contre la vague moderniste de design minimaliste, en jetant vos invités dans le passé, tout en maintenant un niveau de classe. </p>"
2362bf1f-095d-467a-93b9-b4d6f6d414c9,Avoir un espace qui favorise la créativité et la collaboration,Des solutions simples pour la pensée créative,"<p>Il est facile de se laisser prendre dans les tendances du design qui émergent, un style minimaliste en apparence froid dans des espaces qui sont censés se sentir chaleureux et accueillant. Bien qu'il existe des avantages à avoir un bureau de recherche moderne, vous ne devez pas seulement planifier des espaces purement fonctionnels pour vos employés. </p><p>Comme un moyen de rompre avec l’environnement d'entreprise et d'empêcher d’étouffer la créativité, de nombreuses startup ont commencés à mettre en œuvre des espaces expérimentaux que leur personnel peut visiter pour se défouler et entrer dans un état d'esprit différent. Ces sortes d'espaces, qui peuvent prendre la forme de fosses à billes, des balançoires et de salle de jeu, permettent aux employés de se développer de façon créative et de se rencontrer dans un contexte qui serait impossible dans un bureau traditionnel </p><p>Si vous pré-voyer de réaménager votre espace, ou de recommencez à zéro, envisager certaines de ces options pour démarrer afin de promouvoir un milieu de travail ouvert d'esprit: </p><p><strong>Salle de bal</strong>- Bien que légèrement impraticable, la modernisation toute simple d’une de vos salles de conférence en salle de bal peut faire des merveilles pour le moral du bureau. Cela peut être bruillant autéléphone, mais pour les réunions en personne c’est une façon amusante et facile de démarrer </p><p><strong>Salle de jeux </strong>-. Que ce soit babyfoot ou tennis de table, réserver un espace de jeu est un élément important pour favoriser la créativité. Les employés peuvent choisir de travailler plutôt que jouer, mais ils devraient également savoir que prendre une pause sans penser au travail est tout à fait acceptable, et soutenu </p><p><strong>Murs Tableau blanc </strong>-. Une option abordable pour tout bureau est d'acheter un tableau brillant effaçable et l'appliquer à un mur blanc régulier. Cela permet à vos employés de s'exprimer dans toutes les pièces, si elles sont un dessin ou la planification d'un projet. </p><p>Pour les grandes re-conceptions et projet plus ambitieux, Obio offre de nombreux produits individuels et des collections qui peuvent aider à lancer votre espace créatif. </p>"
