UUID,Name,Details
29693a50-35d1-4a5e-9b86-1bc7bfe4e28f,éxito,Historias de Éxito obio
4eb116d7-d6a7-4a0c-8855-d78219c2f308,diseño de la oficina,Diseño de oficinas
b8226351-f525-4644-b130-8c13bf79ae8b,centro de la ciudad,Estilo centro
fd7e759b-df90-4ca3-baa7-232fad7d5a81,vendimia,Vendimia
5528ae18-7059-465d-b453-18aef4c8d1e2,casual,Oficina ocasional
2c946da7-911b-4984-83dd-545615b83f20,eco,Respetuoso del medio ambiente
2ed810dd-af5c-4ad8-9648-09e504912bca,mínimo,Minimalsim
0fd34fca-66c7-4032-9c21-32a21899c3c2,IOT,Internet de las Cosas
1009c569-957b-45e7-8d45-08c0ce07b81e,puesta en marcha,Puesta en marcha
7104b4c4-d33b-40ee-835a-804b54c04a77,reclutamiento,Reclutamiento
81ea0e33-389c-49e3-aa9a-fec1776433a9,cocina,Cocina
762869b0-c7e7-4711-969d-150cec3b0676,q diseñador y una,Diseñador de Q&A
